year,month,jenis,kode_trayek,trayek,jumlah_penumpang,halte_awal,halte_tujuan,latitude_awal,longitude_awal,latitude_tujuan,longitude_tujuan
2021,5,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,82255,Pasar Minggu,Jagakarsa,-6.2825,106.82,-6.345,106.797
2021,5,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,56396,Lebak Bulus,Ragunan,106.774151,-6.289413,106.819485,-6.305769
2021,5,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,64791,Andara,Stasiun Universitas Pancasila,-6.314,106.823,-6.3975,106.813
2021,5,Mikrotrans,JAK.43,Tongtek - Cililitan,91303,Tongtek,Cililitan,-6.2159362,106.8633821,106.866352,-6.262494
2021,5,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,67202,Kampung Melayu,Pondok Kelapa,106.866821,-6.224673,-6.207,106.902
2021,5,Mikrotrans,JAK.41,Kampung Melayu - Ppulo Gadung,39978,Kampung Melayu,Pulo Gadung,106.866821,-6.224673,106.90885,-6.183325
2021,5,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,44007,Harapan Baru,Pulo Gebang,-6.184,106.896,106.952651,-6.212697
2021,5,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,64356,Kalimalang,Duren Sawit,-6.231,106.922,-6.2325,106.9
2021,5,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,51306,Bulak Ringin,Kampung Rambutan,-6.3536317,106.8743563,106.882155,-6.309885
2021,5,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,58115,Cililitan,Condet,106.866352,-6.262494,-6.2764268,106.8517227
2021,5,Mikrotrans,JAK.36,Cilangkap - Cililitan,90157,Cilangkap,Cililitan,-6.3337625,106.9080579,106.866352,-6.262494
2021,5,Mikrotrans,JAK.35,Pangkalan Jati - Rawamangun,34739,Pangkalan Jati,Rawamangun,-6.2476108,106.9075793,106.880332,-6.192931
2021,5,Mikrotrans,JAK.34,Rawamangun - Klender,79082,Rawamangun,Klender,106.880332,-6.192931,106.903063,-6.213596
2021,5,Mikrotrans,JAK.33,Pulo Gadung - Kota,48601,Pulo Gadung,Kota,106.90885,-6.183325,106.814904,-6.13679
2021,5,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,88819,Lebak Bulus,Petukangan,106.774151,-6.289413,-6.243428,106.7536421
2021,5,Mikrotrans,JAK.31,Blok M - Andara,63954,Blok M,Andara,106.801751,-6.243312,-6.314,106.823
2021,5,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,136430,Grogol,Meruya,106.789705,-6.166824,-6.178,106.737
2021,5,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,108161,Tanjung Priok,Sukapura,106.88214,-6.10959,-6.1524249,106.9285742
2021,5,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,67506,Kampung Rambutan,Taman Wiladatika,106.882155,-6.309885,-6.334,106.8935
2021,5,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,47707,Pulo Gebang,Rorotan,106.952651,-6.212697,-6.1335,106.9045
2021,5,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,43724,Rawamangun,Duren Sawit,106.880332,-6.192931,-6.2325,106.9
2021,5,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,62075,Kampung Rambutan,Kalisari,106.882155,-6.309885,-6.23,106.891
2021,5,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,73953,Senen,Pulo Gadung,-6.1775,106.848,106.90885,-6.183325
2021,5,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,32690,Dwikora,Penas Kalimalang,-6.17,106.9,-6.22,106.92
2021,5,Mikrotrans,JAK.21,Cililitan - Dwikora,61989,Cililitan,Dwikora,106.866352,-6.262494,-6.17,106.9
2021,5,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,64374,Cawang UKI,Lubang Buaya,-6.2565,106.887,-6.349,106.917
2021,5,Mikrotrans,"JAK,19",Pinang Ranti - Kampung Rambutan,115780,Pinang Ranti,Kampung Rambutan,106.886338,-6.291075,106.882155,-6.309885
2021,5,Mikrotrans,JAK.18,Kalibata - Kuningan,35873,Kalibata,Kuningan,-6.265332,106.8351642,106.833205,-6.228794
2021,5,Mikrotrans,JAK.17,Senen - Pulo Gadung,39786,Senen,Pulo Gadung,-6.1775,106.848,106.90885,-6.183325
2021,5,Mikrotrans,JAK.16,Cililitan - Condet via Kayu Manis,71832,Cililitan,Condet,106.866352,-6.262494,-6.2764268,106.8517227
2021,5,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,129203,Bulak Turi,Tanjung Priok,-6.2586043,107.0179957,106.88214,-6.10959
2021,5,Mikrotrans,JAK.14,Tanah Abang - Meruya,83600,Tanah Abang,Meruya,-6.184,106.8225,-6.178,106.737
2021,5,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,17058,Tanah Abang,Kota Intan,-6.184,106.8225,-6.1556,106.8638
2021,5,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,65327,Tanah Abang,Kebayoran Lama,-6.184,106.8225,106.777515,-6.23834
2021,5,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,85211,Tanjung Priok,Tanah Merdeka,106.88214,-6.10959,-6.1072514,106.9211497
2021,5,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,49628,Terminal Tanah Merah,Pulo Gadung,-6.18,106.83,106.90885,-6.183325
2021,5,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama,69701,Tanah Abang,Kebayoran Lama,-6.184,106.8225,106.777515,-6.23834
2021,5,Mikrotrans,JAK.10,Tanah Abang - Kota,49104,Tanah Abang,Kota,-6.184,106.8225,106.814904,-6.13679
2021,5,Mikrotrans,JAK.09,Roxy Mas - Karet,19727,Roxy Mas,Karet,-6.166694,106.8030367,106.820031,-6.212457
2021,5,Mikrotrans,JAK.08,Roxy - Benhil,29436,Roxy,Benhil,106.796746,-6.166294,-6.2146871,106.8154446
2021,5,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,49450,Tanah Abang,Grogol,-6.184,106.8225,106.789705,-6.166824
2021,5,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,82681,Kampung Rambutan,Pondok Gede,106.882155,-6.309885,-6.2862899,106.9092597
2021,5,Mikrotrans,JAK.05,Semper - Rorotan,72159,Semper,Rorotan,-6.106,106.9,-6.1335,106.9045
2021,5,Mikrotrans,JAK.04,Grogol - Tubagus Angke,51092,Grogol,Tubagus Angke,106.789705,-6.166824,-6.1418133,106.8066589
2021,5,Mikrotrans,JAK.03,Lebak Bulus - Andara,34997,Lebak Bulus,Andara,106.774151,-6.289413,-6.314,106.823
2021,5,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,51453,Kampung Melayu,Duren Sawit,106.866821,-6.224673,-6.2325,106.9
2021,5,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,62646,Tanjung Priok,Plumpang,106.88214,-6.10959,106.8937,-6.12848
